Gender,Ethnicity,FirstGeneration,CourseGrade,ActivityType,Dominator
M,Asian-American,1,2.6,Interactive,2
M,Asian-American,0,3.3,Interactive,6
M,Asian-American,1,3.4,Constructive,6
M,Asian-American,0,3,Interactive,2
M,Asian-American,1,2.4,Interactive,3
M,Asian-American,0,2.4,Interactive,6
F,Asian-American,1,1.5,Interactive,5
F,Asian-American,0,3.4,Constructive,5
F,Asian-American,1,3.2,Constructive,5
F,Asian-American,0,3.2,Interactive,2
M,Asian-American,0,3.1,Interactive,2
M,Asian-American,0,1.9,Interactive,2
M,Asian-American,1,3.1,Interactive,2
M,Asian-American,1,3.2,Constructive,4
M,Asian-American,1,1.5,Interactive,6
M,Asian-American,1,3.9,Interactive,1
F,Asian-American,0,3.3,Constructive,2
M,Asian-American,1,2,Constructive,4
F,Asian-American,0,3.3,Interactive,2
F,Asian-American,0,3.1,Constructive,3
F,Asian-American,1,2.3,Interactive,6
M,Asian-American,0,2.7,Interactive,3
F,Asian-American,1,2.9,Constructive,4
M,Asian-American,1,2.1,Constructive,5
F,Asian-American,1,3.6,Interactive,1
F,Asian-American,1,2.9,Interactive,1
F,Asian-American,0,1.3,Interactive,2
M,Asian-American,1,1.4,Constructive,1
F,Asian-American,0,3.6,Constructive,4
F,Asian-American,1,2.5,Interactive,3
F,Asian-American,0,3,Interactive,2
F,Asian-American,0,2.1,Constructive,3
F,Asian-American,0,3.8,Constructive,1
M,Asian-American,1,2.2,Interactive,4
M,Asian-American,0,1.8,Constructive,1
F,Asian-American,1,2.8,Constructive,2
F,Asian-American,0,4,Constructive,2
F,Asian-American,1,2.9,Interactive,2
F,Asian-American,1,2.9,Constructive,5
M,Asian-American,0,3.2,Constructive,3
M,Asian-American,0,3.7,Constructive,2
F,Asian-American,1,3.1,Interactive,4
F,Asian-American,1,3.1,Constructive,3
F,Asian-American,0,2.4,Constructive,3
F,Asian-American,1,2.6,Constructive,4
F,Asian-American,1,2.9,Constructive,4
M,Asian-American,0,3.5,Constructive,1
M,Asian-American,1,2.8,Constructive,4
F,Asian-American,1,3.7,Constructive,3
F,Asian-American,1,2.8,Interactive,3
F,Asian-American,1,1,Interactive,6
F,Asian-American,1,2,Interactive,2
F,Asian-American,1,3.8,Constructive,3
F,Asian-American,1,3.6,Interactive,2
M,Asian-American,0,2.5,Interactive,4
F,Asian-American,0,3.4,Interactive,2
F,Asian-American,0,3.4,Constructive,2
F,Asian-American,1,3.2,Interactive,2
M,Asian-American,0,2.4,Interactive,3
F,Asian-American,0,3.9,Constructive,4
F,Asian-American,0,4,Constructive,2
F,Asian-American,0,3.7,Constructive,3
M,Asian-American,1,3.4,Interactive,2
F,Asian-American,0,3.1,Constructive,3
M,Asian-American,0,3.1,Interactive,2
F,Asian-American,0,3.8,Interactive,3
F,Asian-American,1,2.5,Constructive,2
F,Asian-American,0,4,Constructive,4
M,Asian-American,0,2.6,Interactive,5
F,Asian-American,1,2.4,Interactive,2
M,Asian-American,0,3.2,Interactive,6
F,Asian-American,1,3.2,Interactive,1
M,Asian-American,1,3.3,Constructive,2
F,Asian-American,1,3,Interactive,4
F,Asian-American,0,1.4,Constructive,6
F,Asian-American,1,2.2,Interactive,2
F,Asian-American,0,2.5,Constructive,6
M,Asian-American,1,3.9,Constructive,2
F,Asian-American,0,2.7,Interactive,5
M,Asian-American,0,3.7,Constructive,3
F,Asian-American,1,3,Constructive,5
F,Asian-American,1,2.8,Interactive,4
M,Asian-American,0,1.6,Constructive,5
F,Asian-American,0,3.9,Interactive,3
F,Asian-American,1,3.2,Interactive,2
F,Asian-American,0,4,Constructive,5
F,Asian-American,0,3,Interactive,3
F,Asian-American,1,2.8,Interactive,4
M,Asian-American,0,2.6,Interactive,4
F,Asian-American,1,3.4,Constructive,2
F,Asian-American,0,2.9,Constructive,2
F,Asian-American,1,2.9,Interactive,3
F,Asian-American,1,2.4,Constructive,4
F,Asian-American,1,2.1,Constructive,5
F,Asian-American,0,3.4,Interactive,3
M,Asian-American,0,3.2,Interactive,2
F,Asian-American,0,1.7,Constructive,6
M,Asian-American,0,3,Constructive,2
F,Asian-American,0,4,Interactive,2
M,Asian-American,1,2.5,Interactive,2
F,Asian-American,1,3.6,Constructive,4
F,Asian-American,0,4,Constructive,4
F,Asian-American,0,3.8,Constructive,2
F,Asian-American,0,3.2,Constructive,3
M,Asian-American,1,3.9,Constructive,4
M,Asian-American,0,3.6,Interactive,3
F,Asian-American,1,3.2,Constructive,2
F,Asian-American,1,2.4,Constructive,2
M,Asian-American,1,2.8,Constructive,2
M,Asian-American,0,3.2,Constructive,3
M,Asian-American,1,3.6,Constructive,3
M,Asian-American,1,2.7,Constructive,4
M,Asian-American,0,2.7,Constructive,5
F,Asian-American,0,2.7,Constructive,3
F,Asian-American,0,3.6,Constructive,3
F,Asian-American,0,3.4,Constructive,4
F,Asian-American,1,1.8,Interactive,5
F,Asian-American,1,2.7,Interactive,2
M,Asian-American,0,2.9,Interactive,5
F,Asian-American,0,3.1,Constructive,3
F,Asian-American,1,3.5,Interactive,3
F,Asian-American,0,3.9,Constructive,4
M,Asian-American,0,1.4,Constructive,1
F,Asian-American,1,3.3,Interactive,3
M,Asian-American,0,4,Constructive,2
M,Asian-American,0,3.8,Interactive,2
F,Asian-American,0,4,Interactive,1
F,Asian-American,1,2.2,Constructive,4
F,Asian-American,0,3.1,Constructive,3
F,Asian-American,0,3.7,Interactive,1
M,Asian-American,0,3.6,Constructive,4
F,Asian-American,0,3.2,Interactive,2
M,Asian-American,1,3.8,Interactive,6
F,Asian-American,0,1.8,Constructive,4
F,Asian-American,0,3.5,Constructive,6
M,Asian-American,0,2,Interactive,4
F,Asian-American,0,1.7,Interactive,6
F,Asian-American,0,1.7,Interactive,6
M,Asian-American,0,3.2,Interactive,2
M,Asian-American,0,2.7,Constructive,5
M,Asian-American,0,4,Interactive,6
F,Asian-American,1,2.1,Interactive,2
M,Asian-American,0,2.5,Interactive,3
F,Asian-American,1,3.7,Constructive,2
M,Asian-American,0,1.8,Interactive,2
F,Asian-American,0,4,Interactive,2
F,Asian-American,0,2.7,Constructive,3
M,Asian-American,0,2.9,Interactive,6
F,Asian-American,0,2.4,Constructive,3
F,Asian-American,0,4,Interactive,3
M,Asian-American,1,2.8,Constructive,6
F,Asian-American,0,3.7,Interactive,4
M,Asian-American,0,3.4,Constructive,4
F,Asian-American,0,3.4,Interactive,3
M,Asian-American,1,3.6,Constructive,3
M,Asian-American,0,3.8,Interactive,4
F,Asian-American,1,2.4,Interactive,4
F,Asian-American,1,2.3,Interactive,6
M,Asian-American,0,3.9,Interactive,3
M,Asian-American,1,2.7,Interactive,6
M,Asian-American,0,1.9,Interactive,4
F,Asian-American,0,2.3,Constructive,3
F,Asian-American,0,3.1,Constructive,3
F,Asian-American,1,3.1,Interactive,3
M,International,1,1.5,Interactive,4
F,International,0,1.8,Interactive,4
F,International,1,2.3,Constructive,2
F,International,0,3.8,Interactive,3
F,International,0,3.3,Constructive,5
F,International,0,2.5,Interactive,3
M,International,0,3.1,Interactive,3
F,International,0,4,Constructive,4
M,International,1,2.2,Constructive,5
F,International,1,2.5,Constructive,4
M,International,0,2.1,Interactive,3
M,International,0,3.2,Constructive,4
F,International,1,2.6,Interactive,3
F,International,1,3.1,Constructive,5
F,International,1,3.4,Constructive,2
F,International,0,3,Interactive,5
F,International,0,2.4,Constructive,5
F,International,0,2.6,Interactive,6
F,International,0,2.4,Interactive,3
M,International,1,2.4,Constructive,4
F,International,0,2.7,Constructive,6
F,International,1,2.7,Interactive,3
F,International,1,3.4,Interactive,4
M,International,1,2,Constructive,5
F,International,0,2.6,Interactive,3
F,International,0,2.8,Interactive,1
F,International,0,3.1,Interactive,2
F,International,0,3,Interactive,6
M,URM,0,3.5,Constructive,2
F,URM,1,2.9,Constructive,3
F,URM,1,1.8,Interactive,3
F,URM,0,0.8,Interactive,3
M,URM,1,3.3,Interactive,6
M,URM,0,3.9,Interactive,2
M,URM,0,2.9,Interactive,2
F,URM,1,3.3,Interactive,2
F,URM,1,3.7,Constructive,2
F,URM,0,3.6,Interactive,3
M,URM,0,3,Constructive,5
F,URM,0,2.5,Interactive,2
F,URM,1,2.6,Interactive,5
F,URM,1,2.9,Constructive,4
M,URM,1,3,Interactive,3
F,URM,1,3,Constructive,1
F,URM,1,2.9,Constructive,5
F,URM,1,2.5,Constructive,1
F,URM,1,2.8,Constructive,6
F,URM,1,2.6,Constructive,3
M,URM,1,3.2,Interactive,2
F,URM,1,2.4,Interactive,2
M,URM,0,2.9,Interactive,4
M,URM,1,1.6,Constructive,3
M,URM,1,2.9,Interactive,1
F,URM,1,3.7,Interactive,2
M,URM,0,3.2,Constructive,3
F,URM,0,3.5,Interactive,4
F,URM,1,2,Constructive,1
F,URM,1,2.6,Constructive,3
F,URM,1,2.9,Constructive,5
M,URM,1,2.6,Constructive,3
F,URM,1,1.7,Interactive,4
F,URM,1,3.5,Interactive,3
F,URM,1,2.2,Constructive,3
M,URM,0,2.7,Constructive,4
F,URM,1,3.8,Interactive,2
F,URM,1,2.1,Interactive,3
F,URM,1,2.6,Interactive,3
F,URM,1,2.6,Interactive,3
F,URM,1,3.8,Interactive,3
F,URM,0,2.7,Constructive,5
F,URM,0,1.2,Constructive,3
M,URM,0,4,Constructive,2
M,URM,1,2,Constructive,4
F,URM,1,3.8,Constructive,6
F,URM,1,2.7,Interactive,2
F,URM,0,2,Interactive,5
M,URM,1,3.4,Interactive,3
M,White,1,2.5,Constructive,3
F,White,1,2.9,Interactive,2
F,White,0,3.2,Interactive,2
F,White,0,3.9,Interactive,2
F,White,0,2.3,Constructive,3
F,White,0,3.4,Interactive,2
F,White,1,2.7,Interactive,1
F,White,0,2.5,Interactive,4
F,White,1,2.8,Constructive,6
F,White,0,2.4,Interactive,3
M,White,0,3.4,Interactive,5
M,White,1,3.1,Interactive,2
F,White,1,2.3,Constructive,3
F,White,0,2.9,Constructive,4
F,White,0,2.8,Constructive,2
M,White,0,3.8,Interactive,2
M,White,0,1.9,Interactive,2
M,White,0,1.9,Interactive,2
F,White,1,3.3,Constructive,2
F,White,0,3.2,Constructive,2
F,White,1,3.8,Constructive,2
F,White,0,3.8,Interactive,5
M,White,0,3.7,Interactive,3
M,White,1,3.8,Interactive,5
M,White,0,3.1,Constructive,3
F,White,1,3.6,Constructive,3
M,White,0,4,Constructive,3
F,White,1,3.6,Interactive,1
F,White,1,2.5,Constructive,3
F,White,1,3,Constructive,3
F,White,0,2.1,Interactive,2
M,White,0,2.7,Interactive,3
M,White,0,4,Interactive,4
F,White,1,3.9,Interactive,3
F,White,0,3.1,Constructive,2
M,White,0,3.3,Constructive,2
M,White,0,3.5,Constructive,2
F,White,1,2.6,Constructive,2
F,White,0,3.5,Interactive,2
M,White,0,3.1,Constructive,1
F,White,0,3.8,Constructive,5
F,White,0,3.6,Interactive,4
F,White,1,3,Interactive,3
F,White,1,3.4,Constructive,2
M,White,1,3,Interactive,4
M,White,0,3.5,Constructive,5
F,White,1,2.7,Constructive,4
F,White,0,1.9,Constructive,2
M,White,0,3.1,Constructive,3
F,White,0,3,Constructive,5
M,White,0,3.1,Constructive,3
M,White,0,3.4,Interactive,2
F,White,0,3.4,Constructive,4
F,White,0,3.3,Interactive,3
F,White,1,2.6,Constructive,3
F,White,1,2.2,Constructive,5
M,White,0,2.8,Interactive,5
M,White,0,3.6,Interactive,2
M,White,0,1.9,Constructive,2
F,White,0,2.7,Interactive,2
M,White,1,3.6,Interactive,2
M,White,0,2.2,Constructive,3
M,White,0,3.9,Constructive,2
F,White,0,3.8,Interactive,3
F,White,1,4,Constructive,2
F,White,1,3.1,Interactive,4
F,White,1,3.2,Constructive,5
F,White,1,2.9,Constructive,5
F,White,1,3.2,Interactive,2
M,White,0,2.6,Constructive,2
F,White,1,2.3,Interactive,3
F,White,1,3.2,Interactive,2
M,White,1,3.1,Interactive,3
F,White,0,3.6,Constructive,4
F,White,1,2.7,Constructive,3
M,White,0,2.6,Constructive,2
F,White,0,2.9,Constructive,2
M,White,0,2.5,Interactive,5
M,White,0,3.2,Constructive,5
F,White,0,2.4,Constructive,6
F,White,0,2.8,Constructive,3
M,White,1,2.4,Interactive,1
F,White,0,2.5,Interactive,3
F,White,1,3,Constructive,2
F,White,1,3.7,Constructive,2
M,White,0,2.9,Constructive,2
F,White,0,3.5,Interactive,6
F,White,1,1.9,Interactive,5
F,White,1,3.3,Constructive,1
M,White,1,3.8,Constructive,5
M,White,1,3.3,Interactive,5
M,White,0,3.8,Interactive,2
M,White,1,3.1,Constructive,6
F,White,0,3.9,Constructive,5
F,White,0,3.1,Constructive,3
F,White,0,3.6,Constructive,5
F,White,0,4,Interactive,3
F,White,0,3.5,Interactive,2
F,White,1,3.5,Constructive,3
F,White,1,3.2,Interactive,2
F,White,1,2.4,Interactive,3
M,White,1,3.9,Interactive,3
F,White,0,1,Interactive,2
M,White,1,2.7,Interactive,4
F,White,1,2,Interactive,2
M,White,1,3.4,Constructive,2
F,White,1,3.2,Interactive,4
F,White,0,3.3,Constructive,2
M,White,0,1.7,Constructive,3
F,White,0,2.8,Interactive,3
F,White,0,3.9,Constructive,5
F,White,1,3.6,Interactive,3
F,White,1,2.5,Constructive,5
F,White,1,4,Constructive,3
M,White,1,3.3,Constructive,1
F,White,0,2.9,Constructive,2
F,White,0,2.8,Interactive,4
F,White,1,2.1,Constructive,3
F,White,0,3.3,Constructive,2
M,White,0,3.5,Interactive,2
F,White,0,2,Constructive,3
F,White,0,3.1,Interactive,2
F,White,0,3.3,Interactive,2
F,White,0,3.6,Constructive,5
F,White,0,3.5,Interactive,1
F,White,1,2.1,Interactive,2
F,White,1,3.9,Interactive,4
F,White,1,3.3,Interactive,2
F,White,0,2.3,Constructive,4
M,White,1,2.4,Interactive,2
F,White,0,3.3,Interactive,2
M,White,0,3.3,Constructive,2
M,White,1,3.3,Constructive,1
F,White,0,2.7,Constructive,4
F,White,0,3.3,Interactive,4
F,White,0,3.5,Constructive,2
F,White,1,2.8,Interactive,2
F,White,1,3.1,Constructive,5
M,White,0,2.5,Constructive,2
M,White,1,2.8,Interactive,3
F,White,0,3.6,Constructive,3
M,White,1,2.6,Constructive,4
F,White,0,3.7,Constructive,3
F,White,1,1.4,Constructive,2
F,White,1,2.8,Constructive,1
M,White,0,2.7,Constructive,2
M,White,0,3.1,Constructive,5
M,White,0,2.9,Interactive,3
M,White,1,2.8,Constructive,3
F,White,0,3.1,Constructive,3
M,White,0,2.2,Interactive,1
M,White,1,4,Interactive,2
M,White,0,3.4,Constructive,2
F,White,0,3,Interactive,1
F,White,1,3.6,Constructive,3
F,White,0,3.4,Constructive,4
M,White,0,3.3,Interactive,2
M,White,0,3.6,Constructive,1
F,White,0,3.2,Interactive,3
F,White,0,2.1,Constructive,3
F,White,0,3.9,Interactive,2
F,White,0,3.5,Interactive,2
F,White,0,2.8,Interactive,3
F,White,1,2.7,Constructive,2
F,White,0,3.3,Constructive,4
F,White,1,2.9,Constructive,3
F,White,0,3.7,Constructive,4
M,White,0,3.3,Constructive,4
M,White,1,2.5,Interactive,2
F,White,1,3.9,Interactive,2
M,White,0,2,Interactive,2
F,White,0,3.3,Interactive,2
M,White,1,3.3,Interactive,3
F,White,0,3.4,Interactive,2
M,White,1,2.2,Constructive,4
M,White,1,2.4,Constructive,4
F,White,0,2.4,Interactive,2
M,White,1,2.5,Constructive,5
M,White,0,3.1,Interactive,2
F,White,1,1.8,Interactive,2
F,White,0,1.4,Interactive,1
F,White,0,2,Interactive,3
F,White,1,4,Constructive,3
F,White,1,2.4,Constructive,5
F,White,0,1.7,Constructive,2
F,White,0,2.9,Constructive,5
M,White,1,3.4,Constructive,3
F,White,1,3.5,Interactive,3
M,White,0,4,Interactive,1
M,White,1,1.6,Constructive,2
M,White,1,3,Interactive,2
M,White,1,3.3,Interactive,2
F,White,0,4,Interactive,2
M,White,1,3.4,Constructive,3
F,White,1,2,Constructive,4
