Gender,FirstGen,GPA,NumComplete,NumPossible
F,NotFirstGen,1.97,9,9
F,NotFirstGen,2.29,8,9
M,NotFirstGen,2.35,9,9
F,FirstGen,2.43,9,9
M,NotFirstGen,2.45,9,9
F,NotFirstGen,2.49,8,9
F,NotFirstGen,2.5,9,9
M,FirstGen,2.52,9,9
M,NotFirstGen,2.61,8,9
M,NotFirstGen,2.62,6,9
M,NotFirstGen,2.63,8,9
F,FirstGen,2.65,7,9
M,NotFirstGen,2.67,8,9
F,NotFirstGen,2.69,6,9
F,FirstGen,2.71,8,9
M,FirstGen,2.71,4,9
F,NotFirstGen,2.72,7,9
F,FirstGen,2.74,3,9
F,FirstGen,2.74,9,9
F,FirstGen,2.74,9,9
F,FirstGen,2.76,9,9
F,NotFirstGen,2.76,9,9
F,NotFirstGen,2.79,2,9
M,NotFirstGen,2.8,1,9
F,NotFirstGen,2.81,9,9
F,NotFirstGen,2.82,8,9
F,NotFirstGen,2.82,9,9
F,NotFirstGen,2.83,9,9
M,NotFirstGen,2.83,6,9
F,NotFirstGen,2.84,7,9
M,NotFirstGen,2.84,7,9
F,NotFirstGen,2.86,8,9
F,NotFirstGen,2.86,9,9
F,NotFirstGen,2.87,8,9
M,NotFirstGen,2.88,5,9
F,NotFirstGen,2.89,9,9
M,FirstGen,2.9,8,9
M,NotFirstGen,2.91,9,9
F,NotFirstGen,2.92,1,9
F,NotFirstGen,2.92,9,9
M,FirstGen,2.92,8,9
F,NotFirstGen,2.94,9,9
F,NotFirstGen,2.95,6,9
F,NotFirstGen,2.95,7,9
M,NotFirstGen,2.97,6,9
F,NotFirstGen,2.98,8,9
F,NotFirstGen,2.98,9,9
M,NotFirstGen,2.99,9,9
F,NotFirstGen,3,6,9
F,NotFirstGen,3,2,9
F,NotFirstGen,3,8,9
F,NotFirstGen,3,8,9
M,NotFirstGen,3,1,9
M,NotFirstGen,3,2,9
F,NotFirstGen,3.01,8,9
M,NotFirstGen,3.01,9,9
F,NotFirstGen,3.02,2,9
M,NotFirstGen,3.02,9,9
F,NotFirstGen,3.03,8,9
M,NotFirstGen,3.03,1,9
F,NotFirstGen,3.05,4,9
F,NotFirstGen,3.05,8,9
F,NotFirstGen,3.05,9,9
F,FirstGen,3.06,7,9
F,NotFirstGen,3.06,7,9
F,NotFirstGen,3.06,8,9
F,NotFirstGen,3.06,8,9
F,NotFirstGen,3.06,9,9
M,NotFirstGen,3.06,7,9
M,NotFirstGen,3.06,8,9
M,NotFirstGen,3.07,4,9
F,NotFirstGen,3.08,5,9
F,NotFirstGen,3.08,9,9
M,NotFirstGen,3.08,9,9
F,NotFirstGen,3.09,8,9
M,NotFirstGen,3.09,7,9
M,FirstGen,3.09,8,9
M,NotFirstGen,3.09,9,9
F,NotFirstGen,3.1,3,9
F,NotFirstGen,3.1,4,9
F,NotFirstGen,3.1,8,9
F,NotFirstGen,3.1,9,9
F,FirstGen,3.1,9,9
M,NotFirstGen,3.11,9,9
F,NotFirstGen,3.12,5,9
F,FirstGen,3.12,7,9
F,FirstGen,3.12,2,9
F,FirstGen,3.12,8,9
F,NotFirstGen,3.13,1,9
F,NotFirstGen,3.13,8,9
F,FirstGen,3.13,9,9
F,NotFirstGen,3.14,7,9
F,FirstGen,3.14,8,9
M,NotFirstGen,3.14,6,9
M,NotFirstGen,3.14,6,9
F,NotFirstGen,3.15,7,9
F,NotFirstGen,3.15,8,9
M,FirstGen,3.15,1,9
F,NotFirstGen,3.16,1,9
F,NotFirstGen,3.16,8,9
M,FirstGen,3.16,8,9
F,NotFirstGen,3.17,9,9
M,NotFirstGen,3.17,8,9
M,NotFirstGen,3.17,9,9
F,NotFirstGen,3.18,9,9
F,NotFirstGen,3.18,9,9
F,NotFirstGen,3.18,9,9
M,NotFirstGen,3.18,8,9
F,FirstGen,3.19,7,9
F,NotFirstGen,3.19,9,9
F,NotFirstGen,3.19,9,9
F,NotFirstGen,3.19,9,9
F,NotFirstGen,3.2,9,9
M,FirstGen,3.2,8,9
M,NotFirstGen,3.2,9,9
M,NotFirstGen,3.2,9,9
M,NotFirstGen,3.2,9,9
F,NotFirstGen,3.21,1,9
F,NotFirstGen,3.21,8,9
M,NotFirstGen,3.21,1,9
M,NotFirstGen,3.21,7,9
M,NotFirstGen,3.21,9,9
F,NotFirstGen,3.22,8,9
F,NotFirstGen,3.22,9,9
F,NotFirstGen,3.22,9,9
M,NotFirstGen,3.22,1,9
M,NotFirstGen,3.22,9,9
F,NotFirstGen,3.23,9,9
M,NotFirstGen,3.23,8,9
M,NotFirstGen,3.23,9,9
F,FirstGen,3.24,9,9
M,FirstGen,3.24,1,9
M,NotFirstGen,3.24,3,9
M,NotFirstGen,3.24,7,9
M,NotFirstGen,3.24,9,9
M,NotFirstGen,3.24,9,9
F,NotFirstGen,3.25,8,9
F,NotFirstGen,3.25,9,9
F,NotFirstGen,3.26,8,9
M,NotFirstGen,3.26,7,9
M,NotFirstGen,3.26,9,9
M,NotFirstGen,3.27,8,9
M,NotFirstGen,3.27,9,9
M,NotFirstGen,3.27,9,9
M,NotFirstGen,3.28,1,9
F,NotFirstGen,3.3,1,9
F,NotFirstGen,3.3,9,9
M,NotFirstGen,3.3,8,9
F,NotFirstGen,3.31,1,9
F,NotFirstGen,3.31,7,9
F,NotFirstGen,3.31,9,9
M,FirstGen,3.31,8,9
F,FirstGen,3.32,2,9
F,NotFirstGen,3.32,6,9
F,NotFirstGen,3.32,9,9
F,NotFirstGen,3.32,9,9
M,FirstGen,3.32,9,9
M,NotFirstGen,3.32,9,9
M,FirstGen,3.32,9,9
M,FirstGen,3.33,8,9
M,NotFirstGen,3.34,3,9
F,NotFirstGen,3.35,1,9
F,NotFirstGen,3.35,6,9
F,NotFirstGen,3.35,9,9
M,FirstGen,3.36,9,9
M,NotFirstGen,3.37,7,9
F,NotFirstGen,3.38,7,9
F,FirstGen,3.38,9,9
F,FirstGen,3.38,9,9
M,NotFirstGen,3.38,9,9
F,NotFirstGen,3.39,8,9
M,NotFirstGen,3.39,2,9
F,NotFirstGen,3.4,9,9
F,FirstGen,3.41,6,9
F,NotFirstGen,3.41,7,9
F,NotFirstGen,3.41,9,9
F,NotFirstGen,3.41,9,9
M,NotFirstGen,3.41,1,9
M,NotFirstGen,3.41,8,9
F,NotFirstGen,3.42,7,9
F,NotFirstGen,3.42,8,9
F,FirstGen,3.43,1,9
F,NotFirstGen,3.43,7,9
F,NotFirstGen,3.43,7,9
F,NotFirstGen,3.43,9,9
F,FirstGen,3.43,9,9
F,NotFirstGen,3.43,9,9
M,NotFirstGen,3.43,1,9
M,FirstGen,3.43,7,9
M,NotFirstGen,3.43,9,9
F,NotFirstGen,3.44,1,9
F,FirstGen,3.44,1,9
F,NotFirstGen,3.44,7,9
F,NotFirstGen,3.45,2,9
F,NotFirstGen,3.45,8,9
F,NotFirstGen,3.45,8,9
F,NotFirstGen,3.45,8,9
M,NotFirstGen,3.45,2,9
M,NotFirstGen,3.45,9,9
F,NotFirstGen,3.46,8,9
F,NotFirstGen,3.46,9,9
M,NotFirstGen,3.46,8,9
F,FirstGen,3.47,7,9
M,NotFirstGen,3.47,7,9
F,NotFirstGen,3.48,1,9
M,NotFirstGen,3.48,8,9
F,NotFirstGen,3.49,8,9
F,NotFirstGen,3.49,9,9
F,NotFirstGen,3.49,9,9
M,NotFirstGen,3.49,8,9
M,NotFirstGen,3.49,8,9
F,NotFirstGen,3.5,8,9
F,FirstGen,3.5,9,9
M,NotFirstGen,3.5,8,9
M,NotFirstGen,3.51,3,9
M,NotFirstGen,3.51,7,9
F,NotFirstGen,3.53,7,9
F,NotFirstGen,3.53,9,9
M,NotFirstGen,3.53,1,9
M,NotFirstGen,3.53,1,9
F,NotFirstGen,3.54,5,9
F,NotFirstGen,3.54,9,9
M,NotFirstGen,3.54,2,9
F,NotFirstGen,3.55,3,9
F,NotFirstGen,3.55,9,9
M,NotFirstGen,3.55,9,9
F,NotFirstGen,3.56,1,9
F,NotFirstGen,3.57,2,9
F,NotFirstGen,3.57,5,9
M,FirstGen,3.57,9,9
F,NotFirstGen,3.58,8,9
F,NotFirstGen,3.59,5,9
F,NotFirstGen,3.6,8,9
F,NotFirstGen,3.6,9,9
F,NotFirstGen,3.61,5,9
F,NotFirstGen,3.61,2,9
F,NotFirstGen,3.61,9,9
F,NotFirstGen,3.61,9,9
F,NotFirstGen,3.63,1,9
F,NotFirstGen,3.63,5,9
F,NotFirstGen,3.63,8,9
F,NotFirstGen,3.63,6,9
F,NotFirstGen,3.63,7,9
M,NotFirstGen,3.63,2,9
M,NotFirstGen,3.63,9,9
F,FirstGen,3.66,9,9
F,NotFirstGen,3.67,2,9
M,NotFirstGen,3.67,2,9
M,NotFirstGen,3.67,7,9
M,NotFirstGen,3.68,8,9
F,NotFirstGen,3.69,6,9
M,NotFirstGen,3.7,1,9
F,NotFirstGen,3.71,9,9
M,NotFirstGen,3.71,6,9
M,NotFirstGen,3.73,4,9
M,NotFirstGen,3.73,7,9
F,NotFirstGen,3.74,6,9
F,NotFirstGen,3.74,3,9
F,NotFirstGen,3.74,5,9
F,NotFirstGen,3.75,4,9
F,FirstGen,3.75,2,9
F,NotFirstGen,3.76,3,9
M,NotFirstGen,3.76,2,9
F,NotFirstGen,3.77,4,9
F,NotFirstGen,3.81,3,9
F,NotFirstGen,3.82,5,9
F,NotFirstGen,3.84,4,9
F,NotFirstGen,3.85,1,9
F,FirstGen,3.85,3,9
M,NotFirstGen,3.88,4,9
M,NotFirstGen,3.9,3,9
F,NotFirstGen,3.91,4,9
F,NotFirstGen,3.95,2,9
F,NotFirstGen,3.97,1,9
M,NotFirstGen,3.97,5,9
F,NotFirstGen,1.9,9,9
M,NotFirstGen,2.1,8,9
M,NotFirstGen,2.19,9,9
F,NotFirstGen,2.26,9,9
M,NotFirstGen,2.35,8,9
F,FirstGen,2.45,9,9
M,NotFirstGen,2.55,8,9
F,NotFirstGen,2.56,9,9
M,NotFirstGen,2.57,7,9
M,NotFirstGen,2.62,6,9
F,FirstGen,2.67,5,9
M,FirstGen,2.68,8,9
F,NotFirstGen,2.69,7,9
F,NotFirstGen,2.7,7,9
M,NotFirstGen,2.7,5,9
M,NotFirstGen,2.7,7,9
F,NotFirstGen,2.73,3,9
M,NotFirstGen,2.75,7,9
F,NotFirstGen,2.77,9,9
M,NotFirstGen,2.78,8,9
F,NotFirstGen,2.79,6,9
M,NotFirstGen,2.79,8,9
F,FirstGen,2.81,5,9
F,NotFirstGen,2.82,2,9
F,NotFirstGen,2.82,7,9
F,NotFirstGen,2.83,8,9
F,NotFirstGen,2.83,5,9
M,NotFirstGen,2.85,7,9
F,NotFirstGen,2.87,9,9
F,NotFirstGen,2.87,9,9
F,NotFirstGen,2.89,9,9
F,NotFirstGen,2.9,9,9
F,NotFirstGen,2.92,8,9
F,NotFirstGen,2.92,7,9
F,NotFirstGen,2.93,6,9
F,NotFirstGen,2.93,6,9
F,NotFirstGen,2.94,4,9
F,NotFirstGen,2.96,6,9
F,NotFirstGen,2.97,1,9
F,NotFirstGen,2.97,8,9
F,NotFirstGen,2.98,7,9
F,NotFirstGen,2.98,7,9
M,NotFirstGen,3,8,9
M,NotFirstGen,3,3,9
F,FirstGen,3.03,4,9
M,NotFirstGen,3.03,4,9
M,NotFirstGen,3.03,5,9
M,NotFirstGen,3.04,5,9
F,NotFirstGen,3.05,5,9
M,FirstGen,3.06,1,9
F,FirstGen,3.07,2,9
F,NotFirstGen,3.07,6,9
F,NotFirstGen,3.07,6,9
F,NotFirstGen,3.07,7,9
M,NotFirstGen,3.07,4,9
M,NotFirstGen,3.07,5,9
M,FirstGen,3.07,6,9
F,NotFirstGen,3.08,2,9
F,NotFirstGen,3.08,4,9
F,FirstGen,3.08,5,9
M,FirstGen,3.08,4,9
F,NotFirstGen,3.09,7,9
F,FirstGen,3.1,5,9
F,NotFirstGen,3.11,1,9
M,FirstGen,3.11,1,9
F,FirstGen,3.12,5,9
F,FirstGen,3.12,6,9
M,NotFirstGen,3.12,1,9
F,NotFirstGen,3.13,4,9
F,NotFirstGen,3.13,5,9
F,NotFirstGen,3.14,3,9
F,NotFirstGen,3.14,4,9
F,FirstGen,3.14,5,9
M,NotFirstGen,3.14,1,9
M,NotFirstGen,3.14,4,9
F,NotFirstGen,3.15,3,9
M,NotFirstGen,3.15,2,9
F,NotFirstGen,3.16,2,9
F,NotFirstGen,3.16,3,9
M,NotFirstGen,3.16,6,9
F,FirstGen,3.17,3,9
F,FirstGen,3.17,6,9
M,FirstGen,3.17,6,9
F,NotFirstGen,3.18,5,9
F,NotFirstGen,3.19,4,9
F,NotFirstGen,3.2,2,9
F,NotFirstGen,3.2,3,9
M,NotFirstGen,3.2,1,9
M,NotFirstGen,3.2,2,9
M,NotFirstGen,3.2,3,9
M,NotFirstGen,3.2,5,9
M,NotFirstGen,3.2,5,9
F,NotFirstGen,3.21,7,9
F,NotFirstGen,3.22,4,9
F,NotFirstGen,3.22,5,9
F,NotFirstGen,3.22,7,9
F,NotFirstGen,3.22,7,9
F,NotFirstGen,3.23,2,9
F,NotFirstGen,3.24,4,9
F,NotFirstGen,3.25,4,9
M,NotFirstGen,3.25,4,9
F,NotFirstGen,3.26,2,9
M,NotFirstGen,3.26,2,9
F,FirstGen,3.27,2,9
M,NotFirstGen,3.27,3,9
M,NotFirstGen,3.27,3,9
M,NotFirstGen,3.27,4,9
F,NotFirstGen,3.28,3,9
F,NotFirstGen,3.28,5,9
M,NotFirstGen,3.28,6,9
M,NotFirstGen,3.28,6,9
F,NotFirstGen,3.29,2,9
F,FirstGen,3.29,2,9
M,NotFirstGen,3.29,2,9
M,NotFirstGen,3.29,2,9
F,NotFirstGen,3.31,2,9
M,FirstGen,3.31,4,9
F,NotFirstGen,3.33,2,9
F,NotFirstGen,3.34,1,9
M,NotFirstGen,3.34,4,9
M,NotFirstGen,3.35,2,9
M,NotFirstGen,3.35,5,9
F,NotFirstGen,3.36,1,9
F,NotFirstGen,3.36,6,9
F,NotFirstGen,3.36,6,9
M,FirstGen,3.36,3,9
F,NotFirstGen,3.37,5,9
F,NotFirstGen,3.37,6,9
M,NotFirstGen,3.37,5,9
M,NotFirstGen,3.37,5,9
F,NotFirstGen,3.38,5,9
F,NotFirstGen,3.38,6,9
M,NotFirstGen,3.38,2,9
F,NotFirstGen,3.39,2,9
M,NotFirstGen,3.39,5,9
M,NotFirstGen,3.39,5,9
M,NotFirstGen,3.4,5,9
F,NotFirstGen,3.41,1,9
F,NotFirstGen,3.41,6,9
F,NotFirstGen,3.41,6,9
M,NotFirstGen,3.41,1,9
M,NotFirstGen,3.41,2,9
M,NotFirstGen,3.41,6,9
F,NotFirstGen,3.42,2,9
F,NotFirstGen,3.42,4,9
F,NotFirstGen,3.42,6,9
F,NotFirstGen,3.43,1,9
F,NotFirstGen,3.43,2,9
F,NotFirstGen,3.43,5,9
M,FirstGen,3.43,3,9
M,NotFirstGen,3.44,2,9
M,FirstGen,3.44,4,9
M,NotFirstGen,3.44,5,9
F,NotFirstGen,3.45,2,9
F,FirstGen,3.45,5,9
F,NotFirstGen,3.45,5,9
M,NotFirstGen,3.45,4,9
M,NotFirstGen,3.45,6,9
F,NotFirstGen,3.46,2,9
F,NotFirstGen,3.46,2,9
M,NotFirstGen,3.47,5,9
F,NotFirstGen,3.48,3,9
F,FirstGen,3.48,5,9
F,NotFirstGen,3.48,6,9
F,NotFirstGen,3.49,2,9
M,NotFirstGen,3.49,5,9
F,NotFirstGen,3.5,2,9
F,FirstGen,3.5,3,9
F,NotFirstGen,3.5,6,9
F,NotFirstGen,3.5,6,9
F,NotFirstGen,3.51,6,9
M,NotFirstGen,3.51,5,9
F,NotFirstGen,3.52,3,9
F,NotFirstGen,3.52,4,9
M,NotFirstGen,3.52,4,9
F,NotFirstGen,3.53,3,9
F,NotFirstGen,3.53,6,9
F,NotFirstGen,3.54,6,9
M,NotFirstGen,3.54,3,9
M,NotFirstGen,3.54,5,9
F,NotFirstGen,3.55,3,9
F,NotFirstGen,3.55,5,9
M,NotFirstGen,3.55,4,9
F,NotFirstGen,3.56,4,9
F,NotFirstGen,3.57,2,9
F,NotFirstGen,3.57,2,9
F,NotFirstGen,3.57,4,9
F,NotFirstGen,3.57,6,9
M,NotFirstGen,3.57,4,9
F,NotFirstGen,3.58,5,9
F,FirstGen,3.58,6,9
F,NotFirstGen,3.58,7,9
F,NotFirstGen,3.6,4,9
F,NotFirstGen,3.6,6,9
F,FirstGen,3.6,6,9
M,NotFirstGen,3.6,6,9
F,NotFirstGen,3.61,2,9
F,NotFirstGen,3.61,4,9
F,NotFirstGen,3.61,7,9
F,NotFirstGen,3.62,3,9
F,FirstGen,3.64,4,9
F,NotFirstGen,3.64,5,9
F,NotFirstGen,3.65,2,9
M,NotFirstGen,3.65,2,9
M,NotFirstGen,3.65,4,9
F,NotFirstGen,3.66,3,9
F,NotFirstGen,3.66,5,9
F,NotFirstGen,3.66,6,9
M,NotFirstGen,3.66,5,9
M,NotFirstGen,3.66,6,9
F,NotFirstGen,3.67,6,9
F,NotFirstGen,3.67,6,9
M,NotFirstGen,3.67,1,9
M,FirstGen,3.67,1,9
F,NotFirstGen,3.68,4,9
F,NotFirstGen,3.68,4,9
F,NotFirstGen,3.69,3,9
M,NotFirstGen,3.69,2,9
M,NotFirstGen,3.69,4,9
M,NotFirstGen,3.69,4,9
M,NotFirstGen,3.69,6,9
M,NotFirstGen,3.69,6,9
F,NotFirstGen,3.7,4,9
F,NotFirstGen,3.71,2,9
F,NotFirstGen,3.71,5,9
F,NotFirstGen,3.71,7,9
M,FirstGen,3.71,4,9
F,NotFirstGen,3.72,3,9
F,NotFirstGen,3.72,4,9
M,NotFirstGen,3.72,2,9
F,NotFirstGen,3.73,4,9
M,NotFirstGen,3.73,5,9
M,NotFirstGen,3.73,6,9
M,NotFirstGen,3.74,3,9
F,NotFirstGen,3.76,2,9
F,NotFirstGen,3.76,4,9
F,NotFirstGen,3.77,1,9
F,NotFirstGen,3.77,2,9
F,NotFirstGen,3.77,5,9
M,NotFirstGen,3.77,1,9
M,NotFirstGen,3.77,5,9
F,NotFirstGen,3.79,5,9
F,NotFirstGen,3.79,6,9
M,NotFirstGen,3.79,2,9
F,NotFirstGen,3.8,4,9
M,NotFirstGen,3.8,4,9
M,NotFirstGen,3.8,4,9
F,NotFirstGen,3.81,3,9
M,NotFirstGen,3.81,6,9
F,FirstGen,3.82,2,9
F,NotFirstGen,3.82,4,9
F,NotFirstGen,3.82,6,9
F,NotFirstGen,3.83,6,9
F,NotFirstGen,3.83,5,9
M,NotFirstGen,3.83,1,9
F,NotFirstGen,3.84,5,9
M,NotFirstGen,3.84,2,9
F,FirstGen,3.85,6,9
F,NotFirstGen,3.89,2,9
F,NotFirstGen,3.89,5,9
F,NotFirstGen,3.9,1,9
F,NotFirstGen,3.9,1,9
F,NotFirstGen,3.9,6,9
F,NotFirstGen,3.92,5,9
M,NotFirstGen,3.92,1,9
F,NotFirstGen,3.93,6,9
M,NotFirstGen,3.93,4,9
F,NotFirstGen,3.94,6,9
F,FirstGen,3.94,2,9
F,NotFirstGen,3.94,5,9
F,NotFirstGen,3.97,4,9
F,NotFirstGen,3.97,3,9
M,NotFirstGen,3.99,3,9
M,NotFirstGen,4,2,9
